product_category_name_english,revenue,nb_commandes,aov,review_moyen,taux_retard,delai_moyen,pct_revenue
health_beauty,1410846.79,8608,163.92,4.24,7.54,11.6,9.27
watches_gifts,1261951.03,5472,230.62,4.13,7.42,12.4,8.29
bed_bath_table,1224487.19,9167,133.58,4.01,7.52,12.6,8.05
sports_leisure,1119354.77,7491,149.43,4.23,6.61,11.8,7.35
computers_accessories,1030852.44,6501,158.57,4.08,6.41,12.7,6.77
furniture_decor,884202.65,6213,142.31,4.07,7.18,12.6,5.81
housewares,760768.67,5688,133.75,4.2,5.4,10.6,5.0
cool_stuff,693002.8,3530,196.32,4.23,5.92,11.9,4.55
auto,669372.88,3793,176.48,4.15,7.33,11.9,4.4
garden_tools,567606.19,3414,166.26,4.19,6.59,13.2,3.73
toys,546649.76,3779,144.65,4.24,6.38,11.3,3.59
baby,466249.37,2763,168.75,4.12,8.18,12.3,3.06
perfumery,443990.7,3073,144.48,4.27,6.57,11.4,2.92
telephony,379609.36,4076,93.13,4.06,7.14,12.5,2.49
office_furniture,334107.05,1246,268.14,3.65,8.11,20.2,2.2
stationery,270158.75,2247,120.23,4.31,6.59,12.3,1.78
pet_shop,251176.43,1682,149.33,4.28,5.11,10.9,1.65
computers,226944.65,176,1289.46,4.24,5.68,13.5,1.49
electronics,202154.11,2507,80.64,4.13,7.66,12.5,1.33
musical_instruments,202127.93,607,332.99,4.25,7.58,12.6,1.33
