customer_state,nb_commandes,revenue,aov,review_moyen,taux_retard,delai_moyen,lat,lon
AC,80,19586.25,244.83,4.09,3.75,20.6,-9.02,-70.81
AL,397,94195.79,237.27,3.85,21.41,24.0,-9.57,-36.78
AM,145,27596.18,190.32,4.24,2.76,26.0,-3.47,-65.1
AP,67,16141.81,240.92,4.24,2.99,26.7,1.41,-51.77
BA,3256,591270.6,181.59,3.93,12.16,18.9,-12.97,-41.33
CE,1279,266463.97,208.34,3.94,13.76,20.8,-5.2,-39.53
DF,2080,346146.17,166.42,4.13,5.67,12.5,-15.83,-47.86
ES,1995,317682.65,159.24,4.08,10.73,15.3,-19.19,-40.34
GO,1957,334294.22,170.82,4.1,6.54,15.2,-15.83,-49.61
MA,717,147807.29,206.15,3.83,17.43,21.1,-4.97,-45.27
MG,11354,1819277.61,160.23,4.19,4.57,11.5,-18.1,-44.38
MS,701,134421.54,191.76,4.16,9.7,15.2,-20.51,-54.54
MT,886,181441.72,204.79,4.15,5.98,17.6,-12.64,-55.42
PA,946,212027.55,224.13,3.91,11.21,23.3,-3.79,-52.48
PB,517,137834.65,266.6,4.08,10.44,20.0,-7.12,-36.72
PE,1593,309074.59,194.02,4.08,9.6,18.0,-8.38,-37.86
PI,476,105272.17,221.16,3.99,13.87,19.0,-7.72,-42.73
PR,4923,781919.55,158.83,4.24,4.04,11.5,-24.89,-51.55
RJ,12350,2055690.45,166.45,3.97,12.11,14.8,-22.25,-42.66
RN,474,100728.3,212.51,4.15,9.28,18.8,-5.81,-36.59
RO,243,56975.7,234.47,4.17,2.88,18.9,-11.22,-62.8
RR,41,9039.52,220.48,3.9,12.2,29.0,1.99,-61.33
RS,5345,861802.4,161.24,4.19,6.08,14.8,-30.03,-53.23
SC,3546,595208.4,167.85,4.13,8.21,14.5,-27.45,-50.95
SE,335,70289.13,209.82,3.91,15.22,21.0,-10.57,-37.45
SP,40501,5770266.19,142.48,4.25,4.49,8.3,-22.94,-48.54
TO,274,60007.37,219.0,4.15,9.85,17.2,-10.25,-48.25
