order_month,ca,nb_commandes,aov,review_moyen,taux_retard
2017-01,127545.67,750,170.06,4.2,2.93
2017-02,271298.65,1653,164.13,4.2,2.96
2017-03,414369.39,2546,162.75,4.19,4.56
2017-04,390952.18,2303,169.76,4.14,6.56
2017-05,567066.73,3546,159.92,4.24,2.99
2017-06,490225.6,3135,156.37,4.22,3.03
2017-07,566403.93,3872,146.28,4.26,2.79
2017-08,646000.61,4193,154.07,4.31,2.91
2017-09,701169.99,4150,168.96,4.27,4.39
2017-10,751140.27,4478,167.74,4.21,4.18
2017-11,1153528.05,7289,158.26,3.99,12.4
2017-12,843199.17,5513,152.95,4.09,7.46
2018-01,1078606.86,7069,152.58,4.11,5.7
2018-02,966510.88,6555,147.45,3.88,14.13
2018-03,1120678.0,7003,160.03,3.81,18.96
2018-04,1132933.95,6798,166.66,4.21,4.5
2018-05,1128836.69,6749,167.26,4.24,6.56
2018-06,1012090.68,6099,165.94,4.31,1.16
2018-07,1027903.86,6159,166.89,4.32,3.38
2018-08,985414.28,6351,155.16,4.31,6.19
